DeployID,FieldID,Deployed,Recovered,Max of GPS_TagRecov,Max of TDR_TagRecov,ValidTDRFiles
44,KPNM2013WTSH004A,2013-09-21 05:57,2013-09-21 05:57,0,6,
45,KPNM2013WTSH003A,2013-09-21 06:10,2013-09-21 06:10,0,6,
46,KPNM2013WTSH005A,2013-09-21 06:31,2013-09-21 06:31,0,6,
47,KPNM2013WTSH006A,2013-09-21 06:46,2013-09-22 12:54,5,6,
48,KPNM2013WTSH007A,2013-09-21 07:06,2013-09-21 07:06,0,6,
49,KPNM2013WTSH008A,2013-09-21 07:19,2013-09-21 07:19,0,6,
50,KPNM2013WTSH009A,2013-09-21 07:39,2013-09-21 07:39,0,6,
51,KPNM2013WTSH010A,2013-09-21 07:54,2013-09-22 09:37,3,6,
52,KPNM2013WTSH011A,2013-09-21 08:05,2013-09-21 08:05,0,6,
53,KPNM2013WTSH012A,2013-09-21 08:19,2013-09-22 08:30,5,6,
54,KPNM2013WTSH013A,2013-09-21 08:29,2013-09-22 12:15,5,6,
55,KPNM2013WTSH015A,2013-09-21 09:18,2013-09-22 13:15,5,6,
56,KPNM2013WTSH016A,2013-09-21 09:41,2013-09-21 09:41,0,6,
57,KPNM2013WTSH017A,2013-09-21 10:08,2013-09-23 10:15,4,6,
58,KPNM2013WTSH018A,2013-09-21 10:23,2013-09-30 07:10,5,6,
59,KPNM2013WTSH019A,2013-09-21 10:35,2013-09-21 10:35,0,6,
60,KPNM2013WTSH020A,2013-09-21 10:54,2013-09-30 05:40,4,6,
61,LEH2013RFBO005A,2013-08-07 17:06,2013-08-09 05:30,2,6,
62,LEH2013RFBO001A,2013-08-06 22:37,2013-08-09 05:30,2,6,
63,LEH2013RFBO002A,2013-08-07 06:03,2013-08-08 15:38,2,6,
64,LEH2013RFBO003A,2013-08-07 06:56,2013-08-09 07:12,2,6,
65,LEH2013RFBO004A,2013-08-07 07:17,2013-08-09 22:10,1,6,
66,HAW2013WTSH026A,2013-08-21 07:14,2013-08-22 06:19,1,6,
67,HAW2013WTSH032A,2013-08-21 06:16,2013-08-22 06:30,1,6,
68,HAW2013WTSH030A,2013-08-21 06:00,2013-08-28 05:42,2,6,
69,HAW2013WTSH039A,2013-08-21 08:07,2013-08-28 05:24,2,6,
70,HAW2013WTSH022A,2013-08-21 06:45,2013-08-27 08:20,2,6,
71,HAW2013WTSH014A,2013-08-21 07:40,2013-08-28 07:44,2,6,
72,HAW2013WTSH035A,2013-08-21 07:20,2013-08-21 07:20,0,6,
73,HAW2013WTSH036A,2013-08-21 07:28,2013-08-22 05:54,1,6,
74,HAW2013WTSH009A,2013-08-21 06:52,2013-08-21 06:52,0,6,
75,HAW2013WTSH037A,2013-08-21 08:53,2013-08-22 06:57,1,6,
76,HAW2013WTSH054A,2013-10-08 08:30,2013-10-09 05:25,1,6,
77,HAW2013WTSH002A,2013-08-21 06:21,2013-08-27 06:53,2,6,
78,HAW2013WTSH052A,2013-10-08 08:21,2013-10-08 08:21,0,6,
79,HAW2013WTSH011A,2013-08-21 07:34,2013-08-22 07:08,1,6,
80,HAW2013WTSH038A,2013-08-21 07:59,2013-08-23 08:25,1,6,
81,HAW2013WTSH008A,2013-08-21 06:32,2013-08-22 06:30,2,6,
82,HAW2013WTSH027A,2013-08-21 05:53,2013-08-28 06:30,2,6,
83,HAW2013WTSH020A,2013-10-08 07:30,2013-10-09 06:55,1,6,
84,HAW2013WTSH045A,2013-10-08 07:58,2013-10-13 08:45,2,6,
85,HAW2013WTSH055A,2013-10-08 05:52,2013-10-09 07:03,1,6,
86,HAW2013WTSH031A,2013-08-21 06:10,2013-08-22 05:36,1,6,
87,HAW2013WTSH007A,2013-10-08 09:00,2013-10-10 06:16,1,6,
88,HAW2013WTSH016A,2013-10-08 07:04,2013-10-08 07:04,0,6,
89,HAW2013WTSH057A,2013-10-08 08:10,2013-10-09 06:25,1,6,
90,HAW2013WTSH033A,2013-08-21 07:25,2013-08-22 07:19,1,6,
91,HAW2013WTSH015A,2013-08-21 07:46,2013-08-22 06:26,1,6,
92,HAW2013WTSH005A,2013-08-21 06:39,2013-08-22 06:08,1,6,
93,HAW2013WTSH034A,2013-08-21 07:06,2013-08-23 05:39,1,6,
94,HAW2013WTSH027A,2013-10-08 05:43,2013-10-08 05:43,0,6,
95,HAW2013WTSH023A,2013-10-08 05:31,2013-10-08 05:31,0,6,
